Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	November	222.75	0.966555555555556	2.23897120471782	9			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	December	179.04	4.46601843317972	3.75218315486197	7			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	January	229.14	34.2500720627063		1			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	February	308.78	18.9262712861008		52			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	March	513.62	23.3140770769698		55			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	April	661.69	23.9942784102736		68			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	May	803.82	18.1805268342191		25			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	June	820.79			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	July	826.15			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	August	727.87			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	September	564.97			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	October	374.54			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	November	243.25			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	December	196.85			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	January	191.71	3.1490953635749		3			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	February	269.75	15.6917745310061		15			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	March	473.64	20.7784635318901		12			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	April	637.66	30.7564161321145		52			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	May	799.26	24.7498972553947		6			
