Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_diff_cm	Avg_diff_SD	Avg_diff_n	Avg_SWE_m	SWE_m_SD	SWE_n	Cor_SWEvsElevation	Cor_SWEvsInsolation	R_squared
CKT	Chilkoot Lake	37.408	-119.48	7450	2270	San Joaquin	MONTHLY	December	178.23						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	January	202.81						0	0.226860524027306	0.0164965881632034	0.121184362015554
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	February	279.64				0.430793960104959		13	0.212580840916089	0.0624046104174903	0.038777645161961
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	March	475				0.515772476404734		32	0.193057491557799	0.000970126669397888	0.0286103483667989
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	April	620.32				0.481244468313378		67	0.355143053243069	-0.0123946530632691	0.121152586735371
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	May	759.66				0.11889917216267		42	0.538642056595992	0.183649261803028	0.538334349925135
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	June	777.49						0	0.518287894485839	-0.268750650545776	0.270694396378618
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	July	781.63						0	0.360980358360112	-0.0894020404911492	0.117038051032853
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	August	684.47						0	0.374868816434567	-0.0330745193046189	0.141307278897059
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	September	524.78						0	0.0902117095102845	0.37718412070553	0.00403976867041546
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	October	341.48						0	0.665146076526165	0.0475245249724105	0.454910605867191
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	November	216.46						0	0.685296017450218	-0.0332400777694348	0.489425115421562
CLM	Clover Meadow	37.528	-119.275	7000	2130	San Joaquin	MONTHLY	December	172.91						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	January	208.59						0	0.226860524027306	0.0164965881632034	0.121184362015554
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	February	286.49				0.499863165105183		9	0.212580840916089	0.0624046104174903	0.038777645161961
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	March	485.88				0.808550100325689		20	0.193057491557799	0.000970126669397888	0.0286103483667989
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	April	635.42				0.786073585541968		40	0.355143053243069	-0.0123946530632691	0.121152586735371
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	May	779.89				0.545288940036098		16	0.538642056595992	0.183649261803028	0.538334349925135
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	June	799.11						0	0.518287894485839	-0.268750650545776	0.270694396378618
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	July	802.8						0	0.360980358360112	-0.0894020404911492	0.117038051032853
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	August	701.53						0	0.374868816434567	-0.0330745193046189	0.141307278897059
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	September	536.92						0	0.0902117095102845	0.37718412070553	0.00403976867041546
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	October	349.59						0	0.665146076526165	0.0475245249724105	0.454910605867191
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	November	222.39						0	0.685296017450218	-0.0332400777694348	0.489425115421562
CRA	Cora Lakes	37.598	-119.267	8400	2560	San Joaquin	MONTHLY	December	178.18						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	January	236.88				0.0805339062783893		3	0.226860524027306	0.0164965881632034	0.121184362015554
CYT	Coyote Lake	37.208	-119.073	8850	2700	San Joaquin	MONTHLY	February	316.71				0.430144035936547		15	0.212580840916089	0.0624046104174903	0.038777645161961
